Msqnm,Fctn,Prvn,Pftn,Cont,Spfcadd,Msqintdc,Topmsq,Kcrsusp,Sncarlv,Longit,Latit
兰州市红古区下窑清真寺,年代不详,甘肃省,兰州市,红古区,甘肃省兰州市红古区窑街镇,下窑村因位于煤陶古镇窑街以南两公里处的大通河下游东岸而得名。1928年(民国17年)前后，一批东乡族穆斯林因做买卖，打短工和其它营生而结伴从甘肃省东乡族自治县迁来这里落户，随后又有一些外地回族，陆续来此安家，使这里逐渐形成相当规模的穆斯林群体。建寺初期，曾聘请一位具有一定宗教学识，获得穿衣资格的回族退休职工马俊英阿訇为首任教长。后因马阿旬亡故，寺管会先后聘任过五任教长，开学期限有长有短。该寺礼拜大殿为四坡三开中式建筑，全寺占地面积0.6亩，大殿建筑面积70平方米，全寺建筑总面积200平方米。据相关资料显示，清真寺有教民65户，共200人。有阿訇1人，满拉12人，学董2人。藏《古兰经》阿文、波斯文各一部。,,,,102.875343,36.430092
兰州市红古区洞子村清真寺,1986年,甘肃省,兰州市,红古区,甘肃省兰州市红古区洞子村,洞子村清真寺坐落于甘肃省兰州市红古区洞子村，始建于1986年，占地约0.2亩，是砖木水泥结构、设计简单而实用的小型清真寺。,,,,103.071129,36.223221
永登县西关大寺,年代不详,甘肃省,兰州市,永登县,甘肃省永登县团结街,"永登县西关大寺又名平番寺，位于甘肃省永登县团结街。该寺始建于1929年。礼拜大殿为砖木结构，大殿长17.8米，宽13米，面积231平方米，全寺建筑面积628平方米，能容纳600人礼拜。宣礼楼初建时为木结构古典式建筑，""文革""期间被毁。1983年，党和政府落实民族宗教故策，将清真寺所属财产卧盖夫45间房屋，归还给信教群众，寺现有铺面7间，房屋30间，共计37间，其中11间作为民族旅社，租赁给群众搞以副养寺，其中砖混结构24间，其余为土木结构。",,,,103.264557,36.722000
兰州市桃树坪清真寺,年代不详,甘肃省,兰州市,,甘肃省兰州市桃树坪,桃树坪清真寺位于甘肃省兰州市桃树坪。该寺始建于1956年，现在全寺占地面积约1亩，大殿建筑面积60平方米，全寺建筑总面积1000平方米，教民42户，160人，均属回族，进行哲赫忍耶教礼。,,,,103.932220,36.036209
兰州水上清真寺,年代不详,甘肃省,兰州市,,甘肃省兰州市金城关路,水上清真寺是兰州的清真古寺之一，建筑面积约488平方米，始建于民国三年，兰州水上清真寺位于黄河北岸，北临白塔山公园，从新的黄河大桥遥看清真寺，宛如玉立黄河之中，别具风格。建筑式样造型新颖，为阿拉伯式圆顶建筑。,,,,103.718780,36.103960
兰州桥门街清真寺,1722年,甘肃省,兰州市,,,"桥门街清真寺坐落在甘肃省兰州市中山桥以南的回族聚居区桥门巷内，是中国伊斯兰教清真寺。据传，早在明代桥门巷(街)即有一座简陋的清真寺。该寺曾被列为""省级文物保护单位""。",,,,99.767914,26.097162
兰州南滩清真寺,年代不详,甘肃省,兰州市,,甘肃省兰州市,南滩清真寺位于兰州市回民聚居区的互助巷。80年代初，南滩清真寺牟、马、海、南四户教胞，虔诚进献，慷慨解囊，众穆斯林无私赞助支援。,,,,103.718780,36.103960
兰州南关清真大寺,1368年-1398年,甘肃省,兰州市,,兰州市繁华市区南关什字南侧的酒泉路中段西侧,兰州南关清真大寺，位于兰州市繁华市区南关什字南侧的酒泉路中段西侧，原南城门与拱兰门(南稍门)之间，故又称拱南门清真大寺或南稍门大寺。,,,,103.825333,36.055538
兰州旅兰清真寺,年代不详,甘肃省,兰州市,,甘肃省兰州市靖远路庙巷子,"兰州旅兰清真寺位于甘肃省兰州市黄河北靖远路龙王巷和庙巷子之间。该寺始建于1935年，按所处位置又取名""庙巷子清真寺""。现有坊民几百余户，分散于兰州市内。",,,,103.829597,36.070141
兰州莲花池清真寺,年代不详,甘肃省,兰州市,,甘肃省兰州市西湖西街43号,兰州莲花池清真寺，又称小西湖清真寺，始建于1948年，1958年被拆，1984年重建。新建的莲花池清真寺为中阿合壁式，绿色瓷砖镶嵌的殿顶、塔尖，相互映辉，显得既精巧又凝重。全寺占地2.5亩，大殿建筑面积200平方米。,,,,103.718780,36.103960
东乡县三社清真寺,年代不详,甘肃省,临夏回族自治州,东乡族自治县,甘肃省东乡县江集乡三社村,三社清真寺，又名卧沟寺，位于甘肃省东乡县江集乡三社村。本坊教民200多户，1000多人，为东乡族。,,,,103.268738,35.652767
东乡县柳树湾清真寺,年代不详,甘肃省,临夏回族自治州,东乡族自治县,甘肃省东乡县柳树乡柳树村,柳树湾清真寺位于甘肃省东乡县柳树乡柳树村，始建年代不详。本坊有教民39户，210人，属伊黑瓦尼。,,,,103.309517,35.671951
东乡县马巷寺,年代不详,甘肃省,临夏回族自治州,东乡族自治县,甘肃省东乡县唐汪乡马巷村,"该寺又名马巷白庄寺，始建于1919年。1928年河州事变中被焚，1948年重建。1958年破""四旧""中再次被毁。",,,,103.566338,35.799244
东乡县汪家清真大寺,年代不详,甘肃省,临夏回族自治州,东乡族自治县,甘肃省东乡县唐汪乡,东乡县汪家清真大寺位于甘肃省东乡县唐汪乡，是一处清真寺，始建于明代中期。,,,,103.542046,35.793510
广河县水家清真寺,年代不详,甘肃省,临夏回族自治州,广河县,甘肃省广河县三甲集镇冰家村,水家清真寺位于甘肃省广河县三甲集镇冰家村，创建于1902年。大殿宏伟壮观，为重檐欢山式。大殿建筑面积近1000平方米，占地3亩。,,,,103.747398,35.567692
广河县三甲集中心清真寺,年代不详,甘肃省,临夏回族自治州,广河县,甘肃省广河县三甲集镇,三甲集中心清真寺位于甘肃省广河县，该寺创建于明代，多年来经历数次重建。现清真寺寺占地约7亩，其中大殿共两层，下层为库房和简易经学。,,,,103.747398,35.567692
广河县三甲集清真西大寺,年代不详,甘肃省,临夏回族自治州,广河县,甘肃省广河县三甲集镇,三甲集在兰州市西南面，挑河西，在临夏市东面，和两市相距均约75公里.甘川公路交通大动脉兰郎公路(213国道)穿过集镇.该镇集市贸易异常发达，三天一集，万商云集，十里长街，货积如山。其中木材、羊毛、茶叶三大市场闻名全国。,,,,103.747398,35.567692
广河县南街清真大寺,年代不详,甘肃省,临夏回族自治州,广河县,甘肃省广河县城关镇,南街清真大寺在公路南侧，寺门和直街寺隔路相向。寺占地约4亩，有教民110户，多属回族，另有东乡族。尊奉伊黑瓦尼教礼.大殿7间，九脊歇山顶，灰色机瓦。殿前另建平顶雨棚。,,,,103.580231,35.481152
广河县买家春清真下寺,年代不详,甘肃省,临夏回族自治州,广河县,甘肃省广河县买家巷乡,买家巷清真下寺建筑总面积为1783平方米，大殿建筑面积为440平方米，礼拜大殿的建筑形式为三转五的虎殿式。,,,,103.493210,35.465408
广河县三甲集清真西关寺,年代不详,甘肃省,临夏回族自治州,广河县,甘肃省广河县三甲集镇,广河县三甲集清真西关寺占地2亩，建筑形式为一典型四合院.西头5间大殿，硬山顶，机瓦覆盖，前出檐，水泥台基，踏步六级。东头砖瓦房6间，中间寺门，上为宣礼塔。北面平顶二层楼一栋、前出檐，上下各5间，朴素整洁。,,,,103.747398,35.567692
和政县台子街清真西大寺,年代不详,甘肃省,临夏回族自治州,和政县,甘肃省和政县城关镇麻藏村,亦称西道堂寺。清光绪十六年(1890年)甘肃临漳学者马启西创建西道堂教礼，以《古兰经》为依据，宣扬伊斯兰教，名闻遐迩。,,,,103.288071,35.396091
和政县台子街清真东寺,年代不详,甘肃省,临夏回族自治州,和政县,,"台子街清真东寺坐落在台子街村东台，坐北面南，前临和铁公路，总面积3亩。据历史记载，和政县地处古""丝绸之路""的""羌氏古道""，唐代就有阿拉伯、波斯商人及使臣往来于西安，这里是必经之地，据传曾有穆斯林留居过这里。",,,,117.733850,34.562610
积石山县阳山潭家清真寺,年代不详,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,阳山谭家清真寺位于甘肃省积石山县关家川乡何家村谭家。从2010年10月至2011年4月，全村所有穆斯林男性共约120多人均在此学习古兰经，由于真主帮助和教学阿訇以及所有学员的努力，谭家清真寺第一期学习班非常顺利的结束了，下一个冬天我们会继续开设学习班，阿訇和所有学员的共同心愿是能够正确的用阿拉伯语朗读真主启示给我们的经典，并且我们都相信这个愿望能够实现。,,,,102.875810,35.717680
积石山县仙家清真寺,年代不详,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,甘肃省积石山县徐扈家乡仙家坪村,仙家清真寺又名仙家坪清真寺，因其建在仙家坪村而得名，位于甘肃省积石山县徐扈家乡仙家坪村。该寺始建于清乾隆年间(1736~1796年)，具体年代不详，后遭遇两次重大破坏，于1980年7月二次重建。新建清真寺占地面积5亩，建筑总面积达2700多平方米。,,,,102.940125,35.666992
积石山县松树湾清真寺,年代不详,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,甘肃省积石山县郭干多松树湾村,松树湾清真寺又名又名火口清真寺，位于甘肃省积石山县郭干多松树湾村，创建于1939年。,,,,103.074287,35.873463
积石山县乔于清真寺,年代不详,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,乔于清真寺位于甘肃省积石山县徐扈家乡乔干村，始建于清光绪十二平(1886年)，后经历两次重大破坏，于1980年重建。重建后的清真寺占地5亩，其中大殿建筑面积为400多平方米。,,,,99.767914,26.097162
积石山县毛家清真寺,年代不详,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,毛家清真寺又名毛家坪清真寺，位于毛家清村。始建于清朝，后被毁，1932年重建。现有清真寺为1980年修建。,,,,102.990211,35.634071
积石山县郭干清真西寺,年代不详,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,积石山县潘家清真西寺地址:甘肃省积石山县关家川乡,,,,100.067924,26.024363
积石山县尕周家清真寺,年代不详,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,甘肃省临夏回族自治州,尕周家清真寺清真寺位于甘肃省临夏回族自治州的积石山保安族东乡族撒拉族自治县，是当地人民精神世界的圣殿。始建年代不详，于1977年重修。清真寺占地1亩8分，礼拜大殿320平方米。,,,,103.210910,35.601220
积石山县癿藏清真大寺,年代不详,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,从积石山之大力加山南麓下来，顺乌龙沟往东，进入积石山县小关乡境内，(小关，即是明朝洪武年间设置的癿藏关，遗址在小关村一公里的风沟口，是从乌龙沟通往老鸦关的主要通道。),,,,109.752500,18.400050
积石山县虬藏清真大寺,,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,,,,,103.369019,34.707512
康乐县西街清真寺,年代不详,甘肃省,临夏回族自治州,康乐县,甘肃省康乐县附城镇,康乐县西街清真寺位于甘肃省康乐县附城镇，始建于1944年。占地面积2.5亩，建筑面积793平方米，为中国古典宫殿式建筑。,,,,103.703697,35.369122
康乐县高家集清真寺,年代不详,甘肃省,临夏回族自治州,康乐县,甘肃省康乐县虎关乡高家集,高家集清真寺(别名:下寺)位于甘肃省康乐县虎关乡高家，始建于清光绪末年，1982年后扩建。现占地1.5亩，建筑总面积519平方米。,,,,103.756233,35.418686
康乐县大河沿清真寺,年代不详,甘肃省,临夏回族自治州,康乐县,甘肃省康乐县苏集乡大河沿村,大河沿清真寺，亦称苏集清真寺，位于甘肃省康乐县苏集乡大河沿村，始建于940年，中途损毁，于1978年重建。现占地1.2亩，大殿为中国传统式的虎殿造型。,,,,103.584290,35.343761
临夏前河沿清真寺,清代,甘肃省,临夏回族自治州,临夏市,,中国伊斯兰教清真寺。坐落在甘肃省临夏市新西路。其前身为临夏尕南寺，现寺内设有业余经学班。该寺占地面积1740平方米，建筑面积1533平方米。,,,,119.433960,32.131880
临夏市罗家堡小寨清真寺,年代不详,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市枹罕乡罗家堡小寨村,小寨清真寺现有阿訇1人(马忠智:广河县人，从事教长职务15年，在小寨清真寺到目前已任教长快10个年头，德高望重，知识渊博，讲起瓦尔兹他口若悬河，舌灿莲花。从事小寨清真寺期间对该寺者麻提的人员办了多期学习班，把一个个人员从不懂经文到现在能拿起古兰经念的滚瓜烂熟，而且把优秀的满拉培养成了阿訇，马忠智阿訇功不可没，前所未有。这次重建本寺马忠智阿訇为大家起了带头作用，马忠智阿訇在这10年里为小寨清真寺立下了汗马功劳)学董2人，满拉20余人;教民215户，共1000余人;奉行嘎吉忍耶。,,,,103.179131,35.566090
临夏市大西关琐麻清真寺,年代不详,甘肃省,临夏回族自治州,临夏市,,琐麻寺位于大西关清真寺西北，隔巷相对。占地1亩，建有砖混平顶大殿一座，大殿西沿，上建小型圆拱，新月高耸。大殿对面建有砖混平顶二层楼一栋，前出檐，楼上供教长、满拉讲经居住。楼下为净水堂及库房。大殿对面西南角为寺门，门西向临大街。门为重檐牌坊式结构，油漆彩绘，门内有砖雕影壁，图案为花卉博古，刻接精细。寺有教民12户，尊奉哲赫忍耶教礼。寺亦招收各地满拉读经习礼。宁夏西吉等地满拉多有进此寺者，如运拉马树兴，刻苦攻读，守礼唯谨，学业逐日精进，可望大成。寺有临大西关街卧盖夫铺面20间，位于专门南北两侧，租给商人经营，多数生意兴隆，盈利颇丰、所有租金全部交寺使用。,,,,114.877197,33.952091
临夏老王清真寺,明洪武元年(1368),甘肃省,临夏回族自治州,临夏市,,清真老王寺坐落在甘肃省临夏市王寺街。据传始建于明洪武元年(1368)，清乾隆年间曾扩建，1928年被国民军焚毁，1933年由寺坊穆斯林捐资重建。礼拜大殿为中国传统宫殿式，邦克楼为木质四层塔式楼，飞檐六出，建造精美，为当时建筑精粹，曾是格迪目派的经堂教育中心。1968年被拆除。1980年由寺坊穆斯林捐资再建，1984年10月竣工。现寺仍保持原寺中国传统建筑之风格，大殿为中国宫殿式，分前殿、正殿和后殿，3殿有机地联为一体，飞檐翘角，挺立高耸。殿顶呈歇山形，殿内雕梁画栋，有水泥仿砖雕刻，左为《原教篇》，右为《赞圣篇》，选自清代伊斯兰学者刘智《天方典礼》。邦克楼为五层六角木质塔式楼，彩饰华丽，为甘肃清真寺中最为高大雄伟的邦克楼。另设有水房、讲经堂、办公室、住宅、食堂等设施。,,,,103.359474,34.682732
广河县清真老华寺,明洪武年间,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市华寺街,"清真老华寺亦称大华寺、华寺等，位于甘肃省临夏市华寺街。据传始建于明洪武年间，清乾隆四十年(1775)扩建。采用了传统殿宇式建筑风格，建造精巧，装饰华丽。为甘肃省规模较大、历史久远的清真寺之一。清真老华寺是伊斯兰文化与中华文化珠联璧合的典型代表，著名的伊斯兰教学者马来迟等众多老阿訇都在这里任过教长，在弘扬教义、培育英才、循善戒恶、传承和平等方面功绩卓著，声名远播教内外。2006年，清真老华寺被甘肃省伊协评为""五好清真寺""，被临夏市民族创建办评为""五星级清真寺""。",,,,103.204903,35.592400
临夏老华清真寺,明洪武年间,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市华寺街,"清乾隆四十年(1775)，当地一位穆斯林将自家花园捐献出来，并出资扩建，名""花寺""，后更名为""华寺""，寓意为中华大地之清真寺。清真老华寺是伊斯兰文化与中华文化珠联璧合的典型代表，著名的伊斯兰教学者马来迟等众多老阿訇都在这里任过教长，在弘扬教义、培育英才、循善戒恶、传承和平等方面功绩卓著，声名远播教内外。现况:属于旅游胜地景区。",,,,103.204903,35.592400
临夏市祁牟家清真寺,年代不详,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市折桥乡祁牟家村,祁牟家清真寺位于甘肃省临夏市折桥乡祁牟家村，又名龙眼泉清真寺。目前该寺有阿訇1人，满拉5人，学董5人。本坊教民共50户，300余人，分属东乡族和回族。本坊哈吉有马英才夫妇。,,,,103.237663,35.618092
临夏市南龙南关清真寺,年代不详,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市南龙乡妥家村,南龙南关清真寺始建于1920年，长年累月中经历多次重建，坐落于甘肃省临夏市南龙乡妥家村。全寺建筑总面积300平方米。属乡村小寺。,,,,103.257858,35.608971
临夏南关清真寺,年代不详,甘肃省,临夏回族自治州,临夏市,,南关清真寺位于甘肃省临夏市解放路红水河边寺，临夏南关清真寺是中国最著名的清真寺之一，西北地区的伊斯兰教圣地之一。,,,,104.043541,34.433811
临夏市上妥家清真寺,年代不详,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市南龙乡上妥家村,临夏市上妥家清真寺位于甘肃省临夏市南龙乡上妥家村，该寺始建于清咸丰年间，1953-1954年重建，现占地面积1.8亩，建筑面积272平方米。,,,,103.232353,35.575871
临夏大西关锁麻清真寺,1912年,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市,临夏市大西关锁麻清真寺在甘肃省临夏市大西关，始建于民国元年(1912年)由第七代传人马元章出资修建，占地1亩，至今在哲赫忍耶教民中较有影响。,,,,103.243170,35.604500
广河县三甲集清真老华寺,明洪武年间,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市华寺街,"老华寺在西关寺之西，相距甚近，不足一里，寺门面临集镇大街。门额题:""清真老华寺""5个大字。寺为一四合小院，大殿为虎殿式建筑，兽吻吞脊，宝瓶高耸.庭院清静幽雅，花木拂窗披阶。",,,,103.204903,35.592400
临夏市街子村后街清真寺,年代不详,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市格罕乡街子村,街子村后街清真寺又名街子老寺，位于甘肃省临夏市格罕乡街子村。,,,,103.139061,35.533272
广河县直街清真寺,明洪武年间,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市华寺街,广河县直街寺在老华寺之东，相距约里许，也在县城繁华地段。1990年新建竣工。占地面积约2.5亩，有教民约300多户，100O余人，尊格迪国红门教礼。寺门面南朝公路，共3间，牌坊重楼式，两则八字墙，全部砖彻、内外均有砖雕，图案为花卉博古，刻工精细，甚见功力。,,,,103.204903,35.592400
临夏市关家台清真寺,年代不详,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市南龙乡关家台村,关家台清真寺始建于1940年。1989年重建。寺内建筑具有阿拉伯建筑特色，礼拜殿墙壁外部都以瓷砖贴面，殿顶为一高大圆拱，殿内装饰精美、宽敞肃穆，另有前厅、后厅、经堂、办公室、建筑总面积790平方米，大殿建筑面积384平方米。,,,,103.222778,35.587803
临夏市罗家堡清真老寺,年代不详,甘肃省,临夏回族自治州,临夏市,,该寺始建于元代。清乾隆年间重修大殿。清道光年间补修唤醒楼。1958年被拆毁，1981年重修。现建筑总面积1150平方米。,,,,108.942551,34.260941
临夏市祁家庄清真考寺,年代不详,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市城关乡祁家庄,该寺始建于清康熙年间。河湟事变中被赵席聘部烧毁、后来重建大殿、唤礼楼。整个寺院由门楼、礼拜大殿、望月楼组成，其建筑形式为中国古典式风格。,,,,103.192520,35.582005
临夏县马集清真老寺,年代不详,甘肃省,临夏回族自治州,临夏市,临夏市,该寺东距临夏市约50华里，南临大夏河，北边有兰郎公路从身边通过，由于交通位置重要，近几年马集街道日渐繁华，铺面接连数里，货物品种齐全。,,,,103.243170,35.604500
临夏市大西关清真寺,年代不详,甘肃省,临夏回族自治州,临夏市,,大西关寺因地得名，创建于清代，具体时间待考证。寺占地2.5亩，呈长方形，寺屡毁屡建，愈显辉煌。现大根于1984年落成，为二层集中式，面积为441平方米。股顶呈方形平面，中央凸起一大圆拱段顶，东北南三出檐三出陛，有连通柱廊，前有水泥搂花护栏。尖拱形门窗。殿内素洁高雅，中央圆拱如中式彻上明造，无天花板遮掩。,,,,114.877197,33.952091
临夏市柏家庄清真寺,年代不详,甘肃省,临夏回族自治州,临夏市,甘肃省临夏市城关乡木场村,柏家庄清真寺位于临夏市西郊，具体始建年代不可考，于1981年进行了简易修复。占地1.1亩，由大殿、水房、阿旬住房等几部分组成。本坊教民90户，450余人。现今该寺有阿訇1人，满拉30人，学董5人，尊奉伊黑瓦尼教礼。本坊教民90户，450余人，都是回族，本坊哈吉有马建伦、王一斯、麻尔来、肖福元。,,,,103.202881,35.580360
临夏县扎木坪清真寺,年代不详,甘肃省,临夏回族自治州,临夏县,,扎木坪清真寺始建于清光绪四年(1878年)，1979年重建，位于甘肃省临夏县，清真寺中最有特色的是1989年新建的唤礼楼(拜克楼)。,,,,112.539600,33.003600
临夏县马集新寺,年代不详,甘肃省,临夏回族自治州,临夏县,,现任学董:马西亮知,,,,112.084328,32.664059
临夏县松树庄清真寺,年代不详,甘肃省,临夏回族自治州,临夏县,甘肃省临夏县北源乡松树庄,松树庄清真寺始建于1945年，坐落于甘肃省临夏县，现占地3.5亩，大殿五间转七间，宣礼塔高三层，宿舍、经学、净水堂共15间，俱为砖混结构，总建筑面积为960平方米。,,,,103.174240,35.603130
临夏县上阴洼清真寺,年代不详,甘肃省,临夏回族自治州,临夏县,甘肃省临夏县韩集乡,"上阴洼清真寺始建于清末，具体年代不详。由3个自然村为礼拜方便，选中间适宜地址而建，初有简易大殿和3间学房，不招满拉。民国后期，宁夏省政府地政局长马继德曾给予经济支持，维持寺用。""文革""被毁。现有教民110户，共450人。均为回族，属华寺、毕家场。本坊哈吉有马福保、马水良、马希圣、马希尧、马希忠、马优努等人、其中马福保为本寺创建人，曾于1934年朝觐，1946年以90高龄病故.马永良毕业于北平成达师范学校，前后3次朝觐，曾就读于著名的埃及文资哈尔大学。",,,,102.993568,35.488953
临夏县莫尼沟前川清真大寺,清同治九年（187年）,甘肃省,临夏回族自治州,临夏县,甘肃省临夏县莫尼沟乡前川村,莫尼沟前川在历史上曾因出了马占鳖、马安良父子及马海晏、马麒、马麟父子而占籍史册。清末及民国，在前川村高官显宦、富商巨贾几占半村，高楼华屋，亭园林泉，一时并建，富贵兴隆之势，无所可比。,,,,102.953278,35.466393
临夏县莫尼沟马家弯清真寺,年代不详,甘肃省,临夏回族自治州,临夏县,甘肃省临夏县莫尼沟乡马家弯村,马家弯清真寺位于由莫尼沟去县城韩家集山路的中途，是一山顶小寺，极为简朴。马家弯清真寺有教民17户，80人，尊奉华寺教礼。,,,,102.948158,35.468761
临夏县双城清真寺,年代不详,甘肃省,临夏回族自治州,临夏县,甘肃省临夏县韩集镇双城村,"临夏县双城清真寺寺占地2亩，四合院，东面大门、宣礼塔，塔高三层，六角攒尖。门楣题字:""尽心唯一""。门联砖雕楷字:""尊五时跪拜之典;重七日朝向之礼""西面为5间大殿，硬山顶，灰板瓦，起脊乎直，宝瓶高耸，上挑新月。北厢7间二层楼，是宿舍、经学、净水堂。教民约140余户，近600人。回民，尊奉华寺教礼。",,,,103.042473,35.482964
临夏县磨牙清真寺,年代不详,甘肃省,临夏回族自治州,临夏县,,临夏县磨牙清真寺坐落于甘肃省临夏县，建于民国15年(1926年)，1982年重建新寺，现大殿建筑面积200平方米，全寺建筑面积800平方米。大殿三间转五，唤醒楼四层，砖木结构。,,,,103.232353,35.575871
临夏县何家清真下寺,年代不详,甘肃省,临夏回族自治州,临夏县,甘肃省临夏县莫尼沟乡何家村,何家下寺是随伊黑瓦尼教礼在临夏的广泛传播而从老教寺分出来的，原寺已毁不存。1980年集资重建礼拜大殿，1982年又集资重建了宣礼塔，之后又增建了宿舍、经学楼等。,,,,103.258408,35.693703
临夏县磨川清真大寺,1880年（光绪六年）,甘肃省,临夏回族自治州,临夏县,,"韩家集位于临夏市西约50华里，现为临夏县政府驻地。两山遥对，河水中流，溉田万倾，西通撒拉八工，南接藏区五头。所以，务农营商俱可得地之利。磨川清真大寺，又名韩家集下寺，创建于明代，最初在韩家集东北不远的阳洼山，这里就是近代史上有名的回族将领马福禄、马福祥的老家，据现存的《重修西乡韩家集三头十方海一礼拜大寺碑记》韩家集周围""初低一寺，建立阳洼山，以木片代陶瓦，称为搭板寺""。",,,,105.643590,36.565240
临夏县涧上老寺,年代不详,甘肃省,临夏回族自治州,临夏县,甘肃省临夏县尹集乡涧上村,该寺建于198O年，亦称麻连滩寺。占地面积1.8亩，建筑总面积480平方米，礼拜大殿为宫殿式建筑，砖木结构，面积180平方米。宣礼楼高电层，顶部呈六角形，雄伟壮观。,,,,103.090813,35.490868
临夏县多木清真大寺,年代不详,甘肃省,临夏回族自治州,临夏县,甘肃省临夏县马集镇多木村,多木村位于临夏县莫尼沟进沟不远处，东至临夏市约55华里。莫尼沟两山对峙，外隘内豁，宜于农耕。多木寺创建于乾隆年间，华寺教祖马来迟曾在此寺掌教。,,,,102.986023,35.443783
临夏县大泉清真寺,年代不详,甘肃省,临夏回族自治州,临夏县,甘肃省临夏县韩集镇大泉村,大泉清真寺，坐落于甘肃省临夏县，寺占地1亩，新建歇山式砖木大殿3间、前接卷棚1间。,,,,102.981422,35.477734
临夏县马集乡白家清真寺,年代不详,甘肃省,临夏回族自治州,临夏县,甘肃省临夏县马集乡白家村,白家清真寺座落在甘肃省临夏县马集乡白家村，寺为一规整4个小院，殿、塔、配房俱全。其遵奉华寺教礼，属多木寺稍麻寺。,,,,102.996895,35.449284
临夏县韩家集清真上夺寺,,甘肃省,临夏回族自治州,临夏县,,,,,,103.369019,34.707512
永靖县小岭清真寺,清光绪末年,甘肃省,临夏回族自治州,永靖县,甘肃省永靖县小岭乡小岭村,小岭清真寺位于甘肃省永靖县小岭乡小岭村，始建于清光绪末年。多年来经历数次损毁重建，于1979年重建。现有清真寺有3间转5间大殿一座，为砖木结构。,,,,102.997330,35.894409
永靖县下岭清真寺,年代不详,甘肃省,临夏回族自治州,永靖县,甘肃省永靖县川城乡下岭村,下岭清真寺位于甘肃省永靖县川城乡下岭村。始建于清光绪年间，原址在崖底下村。多年来经历过损毁重建，最近一次于1978年又集资重修，寺址迁至下岭村。现今清真寺有砖木结构大殿5间，大殿为歇山式建筑。,,,,102.984322,35.978920
永靖县王台清真寺,清光绪中期,甘肃省,临夏回族自治州,永靖县,甘肃省永靖县王台乡王台街,王台清真寺位于甘肃省永清县王台乡王台街。始建于清光绪中期，原来的寺址在王台上湾子村，后来经历过两次重大损毁，于1978年重建。现今现有大殿五间，砖混结构，不减当年之宏丽。,,,,103.030304,35.884472
永靖县王台堡子清真寺,年代不详,甘肃省,临夏回族自治州,永靖县,甘肃省永靖县王台乡堡子村,王台堡子清真寺位于甘肃省永靖县王台乡堡子村，始建于1903年，于1981年集资重修。现今现占地总面积3亩，为中国传统建筑风格。,,,,103.030304,35.884472
永靖县董家山清真寺,1978年,甘肃省,临夏回族自治州,永靖县,甘肃省永靖县红泉乡董家山村,董家山清真寺位于甘肃省永靖县红泉乡董家山村，始建于1978年。其中大殿为中国传统式建筑，寺内收藏有阿拉伯文经典8部。,,,,103.035439,35.912300
兰州和平清真大寺,年代不详,甘肃省,临夏回族自治州,,,位于小西湖大桥北头，占地4亩多。建筑风格属典型的欧式建筑，四座高耸的塔楼围着一个高大的圆顶。塔楼顶部和大圆顶都是钛金做成，在阳光的照射下，烁烁生辉，十分耀眼。大殿外围的68根大柱，高12米、直径90公分，异常壮观。,,,,106.480400,37.291653
临夏木厂清真寺,,甘肃省,临夏回族自治州,,,,,,,103.369019,34.707512
临夏香匠庄清真寺,,甘肃省,临夏回族自治州,,,,,,,103.369019,34.707512
临夏水泉清真寺,,甘肃省,临夏回族自治州,,,,,,,103.369019,34.707512
临夏县代家清真寺,,甘肃省,临夏回族自治州,,,,,,,103.369019,34.707512
临夏折桥郭韩家清真寺,,甘肃省,临夏回族自治州,,,,,,,103.369019,34.707512
临夏枹罕乡韩家寺,,甘肃省,临夏回族自治州,,,,,,,103.369019,34.707512
临夏城角清真寺,,甘肃省,临夏回族自治州,,,,,,,103.369019,34.707512
临夏大祁清真寺,,甘肃省,临夏回族自治州,,,,,,,103.369019,34.707512
徽县东关村东关清真寺,年代不详,甘肃省,陇南市,徽县,甘肃省徽县东关回族聚居的东关村,"东关村清真寺位于甘肃省徽县东关回族聚居的东关村。据寺内现存明朝万历十四年丙戍(1586)所立《重修礼拜寺碑记》载，该寺始建于明成化年间(1465~1487)，因""岁久易湮""，曾于嘉靖(1522~1566)年间修葺。",,,,106.090858,33.771744
