Msqnm,Fctn,Prvn,Pftn,Cont,Spfcadd,Msqintdc,Topmsq,Kcrsusp,Sncarlv,Longit,Latit
宣化县清真北寺,年代不详,河北省,张家口市,宣化县,河北省宣化县钟楼北街,"宣化北寺，清康熙年间宣化国民大部移居城内北部各街巷中，一座南寺不敷应用，于是在钟楼北街再建一寺，是为""北寺""。建寺年代为康熙四十二年(17O3年)，总面积7O0平方米，清光绪初年进行修整。门楼高大，礼拜殿宏伟壮观，并有望月楼、回廊、南北讲堂。结构严谨，雕梁画栋，富丽堂皇;望月楼耸立高空，其高目为陈、冯、郑、康、杨等姓氏。",,,,115.099230,40.608450
宣化县清真南寺,,河北省,张家口市,宣化县,,,,,,103.369019,34.707512
张家口市宣化清真南寺,,河北省,张家口市,宣化县,,,,,,103.369019,34.707512
张家口西关清真寺,年代不详,河北省,张家口市,,河北省张家口市西关,张家口西关清真寺位于河北省张家口市西关，清雍正年间当时教民捐资兴建了清真寺，占地约2.5亩，有房48间，为张市最早的清真寺。,,,,115.223358,40.376053
张家口新华街清真寺,清同治二年,河北省,张家口市,,,新华街清真寺是河北省张家口市的清真古寺之一，始建于清同治二年。清真寺占地为3.5亩，有房57间。,,,,100.307110,25.227140
张家口上堡清真寺,年代不详,河北省,张家口市,,河北省张家口市上堡大平山,上堡清真寺位于河北省张家口市上堡大平山，占地面积约1.8亩。其高目多马、于、郭、罗、郝、梁、魏等姓。,,,,114.746407,40.864632
涿州市西秧坊清真寺,1985年,河北省,涿州市,,,西秧坊清真寺位于河北省涿州市百尺竿乡西秧坊村内。始建于明初，多次损毁重建，1998年再次进行扩建，现寺占地1904平方米，总体布局为二进院。西秧坊清真寺现为河北省涿州市县级文物保护单位。,,,,106.216919,34.994381
安阳清真寺,年代不详,河南省,安阳市,,河南省安阳市驴市街39号,安阳清真寺位于河南省安阳市驴市街39号。安阳清真寺始建于清乾隆五十二年(1787年)，咸丰六年(1856年)重建。占地面积2.24亩，礼拜大殿为砖木结构两进瓦房，建筑面积109平方米;另有平房11间。瓦房21间，建筑面积共367平方米。.本寺坊有教民600余户，9000余人，均为回族。,,,,114.343380,36.093470
民权县北关镇金庄清真寺,,河南省,济南市,长清区,济南市长清区,金庄清真寺，座落在民权县北关镇金庄村，坊上回民1100人，主要居住在金庄。金庄清真寺始建于1938年，后几经翻修，现有礼拜典10间，北讲堂3间，南屋4间，大门3间，占地1.3亩。清真寺北侧有女寺一座，有女礼拜殿3间，水房1间，阿訇住室1间。,,,,116.751990,36.553580
民权县林七乡金庄清真寺,,河南省,济南市,长清区,济南市长清区,金庄清真寺，座落在林七乡金庄村，有回族居民310人，主要分布在金庄、林七、杨庄户。该寺现在讲堂3间，水房1间，占地0.5亩。,,,,116.751990,36.553580
博爱县西关清真寺,年代不详,河南省,焦作市,博爱县,河南省博爱县西关,"河南省博爱县西关清真寺，又名凤凰寺。坐落在县城西关东西大街村正中路北，是一座古老宫殿式建筑群，位于西关大街中段路北，坐西朝东，建于元代，盛于明、清，1982年7月被博爱县人民政府公布为县重点文物保护单位。到2009年已有600多年的历史，素有""河北首方""之美称。",,,,113.057167,35.169930
博爱县大新庄清真东大寺,年代不详,河南省,焦作市,博爱县,焦作市博爱县许良镇大新庄村,"博爱县大新庄清真东大寺，位于焦作市博爱县许良镇大新庄村。东大寺系目前豫北现存规模最大、保存最完整的伊斯兰教古寺，原建于太行山南麓、丹河东岸的上省庄，清初因遭水患迁至现址。该寺属于典型的中国宫殿式清真寺建筑风格，堪称""豫北首坊""。",,,,113.007812,35.193001
孟州市清真张寺,年代不详,河南省,焦作市,孟州市,,张寺位于西桑坡偏东处，为原有张姓穆民修建，故称张寺。创建于清同治二年(1864)。,,,,116.010841,36.065479
孟州市清真西寺,年代不详,河南省,焦作市,孟州市,桑坡偏西北处,清真寺简介:西寺位于桑坡偏西北处，创建于清道光8年(1829)年，该寺是庞士谦大阿訇的启蒙母校。原建有大殿、卷棚、讲堂及街房、水房、门房计39间。1943年战乱期间，讲堂和街房毁于匪患。l959年(宗教改革期暗1)N当地洪灾将学校淹毁，清真寺被学校占用多年，文革期间又被大队做皮革厂使用，直至l980年恢复开放。,,,,113.012970,35.194553
孟州市寨内老女寺,1999年至2000年,河南省,焦作市,孟州市,,孟州市寨内老女寺，该寺早年原建系砖基坯墙房舍，虽曾几经维修，但因年久房顶木朽瓦破，土坯受潮，硝碱侵蚀，岌岌可危，1999年至2000年全部拆旧重建。,,,,112.791340,34.907350
孟州市清真上寺,清嘉庆二十四年（公元1819年）,河南省,焦作市,孟州市,河南省孟州市,孟州市清真上寺位于东桑坡寨内，该坊因丁姓为多，亦称丁寺。始建于清嘉庆24年(公元1819年)原有大殿、寺窑、卷棚、南北讲堂、水房、门房等共56间。寺院建筑对称，灰墙绿瓦，古色古香。,,,,112.791340,34.907350
孟州市清真老寺,年代不详,河南省,焦作市,孟州市,西桑坡偏南处,孟州市清真老寺位于西桑坡偏南处，创建于清太宗崇德年间(公元1636年)，因是本村第一座清真寺，故称老寺;又因附近居住的穆民以白姓为多，亦称白寺。,,,,112.868065,34.903641
孟州市西女寺,年代不详,河南省,焦作市,孟州市,,该寺原在村西头的最南边，有大殿5问，讲堂及阿訇住室3间，水房5间，计16间。文革中被生产队占用多年，以至破烂不堪，这次在再建清真西寺的同时，也将女寺搬迂于男寺南邻。,,,,114.569153,30.664232
孟州市东女寺,年代不详,河南省,焦作市,孟州市,,该寺原有礼拜殿三问，水房三间，讲堂及阿訇住室六间，均足一般房舍，文革中被生产队占用。,,,,114.569153,30.664232
孟州市寨内新女寺,年代不详,河南省,焦作市,孟州市,,该寺于1995年至1996年由男寺拔给地二亩，紧靠男寺北侧建女寺一座，寺院东西有隔墙分前后两院，前院有北房5间，街房门楼4间;后院有大殿5间，北讲堂及阿訇住室4间，水房5间，殿后有寺窑5间，窑殿高20余米，跨度8米，大殿加寺窑可容纳250人礼拜，前门面房全部出租，每年可有几千元收入，大大缓解了清真女寺的经济状况。,,,,112.791340,34.907350
