Chrnm,Fctn,Prvn,Pftn,Cont,Spfcadd,Saltm,Chrintdc,Longit,Latit
教堂名称,建立日期,所属省份,所属地级市,所属区县,具体地址,礼拜时间,基督教堂简介,经度,纬度
兰州市基督教山字石礼拜堂,1885年,甘肃省,兰州市,城关区,甘肃省兰州市城关区张掖路88号,,兰州市基督教山字石礼拜堂地处兰州市城关区张掖路88号(街道)，山字石社区。其创建于1885年，具有悠久的历史，占地五亩左右，建房80余间，属于基督教基要派信仰背景，本堂后在原址重建，风格为二进式四合院，中间为礼拜堂。随着改革开放的深入发展，土木结构的教堂已不能满足信教群众聚会的需要，1998年6月山字石礼拜堂在原址翻建，为框架结构，活动场所占地面积约1亩，建筑面积近5000平米，共6层，是目前兰州基督教最大的宗教活动场所。2017年4月兰州山字石礼拜堂进行装修，装修后的山字石堂焕然一新，具有更多的基督教信仰元素。兰州山字石礼拜堂现有牧师3人，长老9人，信徒约有3500人。本堂的牧养特点是:从2005年开始建立了按龄牧养的成长班，截止到今年，共有16个成长班，每班约有50人，有牧师、长老、传道人教导;已举办基础信仰班77期，分24节课，每期有4至5位主讲与助教带领;另有16岁以下的主日学班级(按龄分班)，有70位老师带领;还有周六、主日的崇拜、大堂祷告会、妇女会、晨更会、福音布道会、培灵会、婚、丧葬礼等宗教活动。,103.827820,36.059300
平□基督教堂,,甘肃省,平凉市,,甘肃省平凉市南后街1号,日9:00,,106.674770,35.542580
天水市奏城区堂,,甘肃省,天水市,,甘肃省天水市解放路韩家巷3号,日9:00,,105.889650,34.570240
武威市礼拜堂,,甘肃省,武威市,,甘肃省武威市基督教会(县府巷),日10:00,,102.641762,37.929409
西峰市基督教堂,,甘肃省,西峰市,,甘肃省西峰市北郊基督教会,日12:00,,,
张掖市礼拜堂,,甘肃省,张掖市,,甘肃省张掖市青年西街149号,,,100.450830,38.933390
东莞市福音堂,,广东省,东莞市,,广东省东莞市莞城仁和里四巷一号,日12:00,,113.756950,23.044682
佛山市贲恩堂,,广东省,佛山市,,广东省佛山市莲花路71号,日12:30,,113.115470,23.034160
广东省基督教沙面会堂,1865年,广东省,广州市,荔湾区,广东省广州市荔湾区沙面南街60号,,沙面堂，现址为广州市荔湾区沙面南街60号。历史上曾称之为广州外国人教堂、圣公会基督堂、沙面基督堂、基督教沙面堂、广东省基督教沙面会堂，简称沙面堂。其主要建筑物为主堂、牧师楼(也称主教楼)、大小花园两处及其它附属建筑。主堂及牧师楼为维多利亚风格。主堂塔顶为罗曼式的穹隆;其设计富有异国风情，建造技术则由中国工匠根据当地气候条件糅合了岭南建筑的特点，是岭南地区之中西合璧建筑精品，现为国家A级重点保护文物。沙面堂约始建于清朝1865年，位于原英法租界沙面岛西南端，原为广州通商口岸外国船员崇拜教堂，后为外国人公共崇拜教堂;属英国圣公会港粤教区主管时改名基督堂，后由中华圣公会华南教区接续管理。1949年至改革开放前，沙面堂由政府代管及使用。1989年政府落实政策，教堂、牧师楼及附属房产收归广东省基督教两会管理。经大力的修缮于1992年恢复正常使用。沙面堂除了举行崇拜外还兼负两会的接待和交流任务，故称为沙面会堂。1993年至2001年，在广东协和神学院迁出东山旧址、等候建设白云新校舍期间，省两会使用沙面会堂牧师楼作为广东协和神学院的校舍，一度成为培育神职人员的摇篮。目前，沙面堂为广东省基督教两会直属堂会，现由堂主任林恩灵牧师等四位专职教牧团队负责日常牧养事工。除了三场主日崇拜外还开设查经班、圣经研读班、学者团契及摄影团契等各种学习培训、团契活动及10个圣乐团队;礼拜人数合计近千人。,113.241670,23.106690
广州基督教天河堂,2017年01月14日,广东省,广州市,天河区,广东省广州市天河区大观中路16-20号,,"天河堂为广州教会自行筹建，并于2017年1月14日正式落成启用，占地总面积8830平方米，建筑面积9907平方米的一间集多功能于一体的综合性教堂。内设主堂、副堂、钟楼、综合楼和附属楼。主堂、副堂共可容纳2500-3000人，综合楼设有中国社科院基督教研究中心广州调研基地、广州市基督教历史文化研究中心以及广州市基督教神学培训中心。作为一座新时代的教堂，天河堂在建筑风格的设计定位上充分体现了基督教信仰与时俱进的特征，并透过""耶稣生平""两幅大型漆画、""主是好牧人""等三座雕塑、以剪纸艺术手法创作的""八福""主题彩玻以及大秦景教流行中国碑(仿制)等来表达广州教会在当下对基督教中国化的重要精神以及体现天河堂肩负传承历史文化使命的决心。天河堂落成启用以来，在各方面的建设均取得了一定的成效。一方面，天河堂不断完善管理制度，优化场所环境，努力成为广州教会规范化管理的标杆。另一方面，天河堂藉着良好的平台优势，努力整合各方资源，透过承办各类主题文化活动以及与海内外友好宗教团体建立联系和互动，努力成为展现国家宗教信仰自由政策以及广州作为国际化大都市形象的窗口，从而更好地促进广州教会适应发展需要，助力推动基督教中国化的进程。",113.409843,23.151171
