Prvn,Pftn,Cont,Arcd,Dilttp,Ehncdilt1,Ehncdilt2,Ehncdilt3,Ehncdilt4,Ehncdilt5
520524,贵州省,毕节地区,织金县,少数民族方言区,壮侗语族,侗水语支,仫佬语,,
520525,贵州省,毕节地区,纳雍县,少数民族方言区,藏缅语族,彝语,,,
520526,贵州省,毕节地区,威宁彝族回族苗族自治县,少数民族方言区,藏缅语族,彝语,,,
520528,贵州省,毕节地区,毕节市,少数民族方言区,藏缅语族,彝语,,,
520528,贵州省,毕节地区,毕节市,少数民族方言区,藏缅语族,彝语,,,
520528,贵州省,毕节地区,毕节县,少数民族方言区,藏缅语族,彝语,,,
520528,贵州省,毕节地区,七星关区,少数民族方言区,藏缅语族,彝语,,,
520628,贵州省,铜仁地区,松桃苗族自治县,少数民族方言区,苗瑶语族,苗语,湘西方言,西部土语,
522324,贵州省,黔西南布依族苗族自治州,晴隆县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,川黔滇次方言,第一土语
522325,贵州省,黔西南布依族苗族自治州,贞丰县,少数民族方言区,壮侗语族,傣语支,布依语,,
522326,贵州省,黔西南布依族苗族自治州,望谟县,少数民族方言区,壮侗语族,傣语支,布依语,,
522326,贵州省,黔西南布依族苗族自治州,望谟县,少数民族方言区,壮侗语族,傣语支,布依语,,
522327,贵州省,黔西南布依族苗族自治州,册亨县,少数民族方言区,壮侗语族,傣语支,布依语,,
522327,贵州省,黔西南布依族苗族自治州,册亨县,少数民族方言区,壮侗语族,傣语支,布依语,,
522328,贵州省,黔西南布依族苗族自治州,安龙县,少数民族方言区,壮侗语族,傣语支,布依语,,
522601,贵州省,黔东南苗族侗族自治州,凯里市,少数民族方言区,苗瑶语族,苗语,黔东方言,北部土语,
522622,贵州省,黔东南苗族侗族自治州,黄平县,少数民族方言区,苗瑶语族,苗语,黔东方言,北部土语,
522623,贵州省,黔东南苗族侗族自治州,施秉县,少数民族方言区,苗瑶语族,苗语,黔东方言,北部土语,
522624,贵州省,黔东南苗族侗族自治州,三穗县,少数民族方言区,苗瑶语族,苗语,黔东方言,东部土语,
522625,贵州省,黔东南苗族侗族自治州,镇远县,少数民族方言区,苗瑶语族,苗语,黔东方言,北部土语,
522627,贵州省,黔东南苗族侗族自治州,天柱县,少数民族方言区,壮侗语族,侗水语支,侗语,,
522627,贵州省,黔东南苗族侗族自治州,天柱县,少数民族方言区,壮侗语族,侗水语支,侗语,,
522628,贵州省,黔东南苗族侗族自治州,锦屏县,少数民族方言区,壮侗语族,侗水语支,侗语,,
522628,贵州省,黔东南苗族侗族自治州,锦屏县,少数民族方言区,苗瑶语族,苗语,黔东方言,东部土语,
522628,贵州省,黔东南苗族侗族自治州,锦屏县,少数民族方言区,壮侗语族,侗水语支,侗语,,
522629,贵州省,黔东南苗族侗族自治州,剑河县,少数民族方言区,苗瑶语族,苗语,黔东方言,东部土语,
522630,贵州省,黔东南苗族侗族自治州,台江县,少数民族方言区,苗瑶语族,苗语,黔东方言,北部土语,
522632,贵州省,黔东南苗族侗族自治州,榕江县,少数民族方言区,苗瑶语族,苗语,黔东方言,南部土语,
522633,贵州省,黔东南苗族侗族自治州,从江县,少数民族方言区,壮侗语族,侗水语支,侗语,,
522633,贵州省,黔东南苗族侗族自治州,从江县,少数民族方言区,苗瑶语族,苗语,黔东方言,南部土语,
522633,贵州省,黔东南苗族侗族自治州,从江县,少数民族方言区,壮侗语族,侗水语支,侗语,,
522634,贵州省,黔东南苗族侗族自治州,雷山县,少数民族方言区,苗瑶语族,苗语,黔东方言,北部土语,
522636,贵州省,黔东南苗族侗族自治州,丹寨县,少数民族方言区,壮侗语族,傣语支,布依语,,
522636,贵州省,黔东南苗族侗族自治州,丹寨县,少数民族方言区,苗瑶语族,苗语,黔东方言,南部土语,
522636,贵州省,黔东南苗族侗族自治州,丹寨县,少数民族方言区,壮侗语族,傣语支,布依语,,
522701,贵州省,黔南布依族苗族自治州,都匀市,少数民族方言区,壮侗语族,傣语支,布依语,,
522702,贵州省,黔南布依族苗族自治州,福泉市,少数民族方言区,苗瑶语族,苗语,川黔滇方言,川黔滇次方言,第一土语
522722,贵州省,黔南布依族苗族自治州,荔波县,少数民族方言区,壮侗语族,侗水语支,水语,,
522722,贵州省,黔南布依族苗族自治州,荔波县,少数民族方言区,壮侗语族,傣语支,布依语,,
522722,贵州省,黔南布依族苗族自治州,荔波县,少数民族方言区,壮侗语族,傣语支,布依语,,
522722,贵州省,黔南布依族苗族自治州,荔波县,少数民族方言区,壮侗语族,侗水语支,水语,,
522727,贵州省,黔南布依族苗族自治州,平塘县,少数民族方言区,壮侗语族,傣语支,布依语,,
522727,贵州省,黔南布依族苗族自治州,平塘县,少数民族方言区,壮侗语族,侗水语支,佯璜话,,
522728,贵州省,黔南布依族苗族自治州,罗甸县,少数民族方言区,壮侗语族,傣语支,布依语,,
522728,贵州省,黔南布依族苗族自治州,罗甸县,少数民族方言区,壮侗语族,傣语支,布依语,,
522729,贵州省,黔南布依族苗族自治州,长顺县,少数民族方言区,壮侗语族,傣语支,布依语,,
522730,贵州省,黔南布依族苗族自治州,龙里县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,贵阳次方言,南部土语
522730,贵州省,黔南布依族苗族自治州,龙里县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,惠水次方言,北部土语
522731,贵州省,黔南布依族苗族自治州,惠水县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,惠水次方言,北部土语
522731,贵州省,黔南布依族苗族自治州,惠水县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,惠水次方言,西南土语
522732,贵州省,黔南布依族苗族自治州,三都水族自治县,少数民族方言区,壮侗语族,侗水语支,水语,,
522732,贵州省,黔南布依族苗族自治州,三都水族自治县,少数民族方言区,壮侗语族,傣语支,布依语,,
522732,贵州省,黔南布依族苗族自治州,三都水族自治县,少数民族方言区,壮侗语族,侗水语支,水语,,
460105,海南省,海口市,秀英区,少数民族方言区,临高话,琼山土语,,,
460106,海南省,海口市,龙华区,少数民族方言区,临高话,琼山土语,,,
460107,海南省,海口市,琼山区,少数民族方言区,临高话,琼山土语,,,
460108,海南省,海口市,美兰区,少数民族方言区,临高话,琼山土语,,,
469001,海南省,,五指山市,少数民族方言区,黎语,杞方言,通什土语,,
469003,海南省,,儋州市,少数民族方言区,临高话,临城土语,,,
469024,海南省,,临高县,少数民族方言区,临高话,临城土语,,,
469025,海南省,,白沙黎族自治县,少数民族方言区,黎语,本地方言,白沙土语,,
469027,海南省,,乐东黎族自治县,少数民族方言区,黎语,侾土语,罗活土语,,
469029,海南省,,保亭黎族苗族自治县,少数民族方言区,黎语,杞方言,保城土语,,
469030,海南省,,琼中黎族苗族自治县,少数民族方言区,黎语,杞方言,通什土语,,
230182,黑龙江省,哈尔滨市,双城市,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
230207,黑龙江省,齐齐哈尔市,碾子山区,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
230221,黑龙江省,齐齐哈尔市,龙江县,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
230224,黑龙江省,齐齐哈尔市,泰来县,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
230605,黑龙江省,大庆市,红岗区,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
230606,黑龙江省,大庆市,大同区,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
230621,黑龙江省,大庆市,肇州县,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
230622,黑龙江省,大庆市,肇源县,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
230624,黑龙江省,大庆市,杜尔伯特蒙古族自治县,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
231102,黑龙江省,黑河市,爱辉区,少数民族方言区,满通古斯语族,满语,,,
220721,吉林省,松原市,前郭尔罗斯蒙古族自治县,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
220802,吉林省,白城市,洮北区,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
220821,吉林省,白城市,镇赉县,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
220822,吉林省,白城市,通榆县,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
220881,吉林省,白城市,洮南市,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
220882,吉林省,白城市,大安市,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
150206,内蒙古自治区,包头市,白云鄂博矿区,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,察哈尔土语,
150223,内蒙古自治区,包头市,达尔罕茂明安联合旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,察哈尔土语,
150421,内蒙古自治区,赤峰市,阿鲁科尔沁旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,巴林土语,
150422,内蒙古自治区,赤峰市,巴林左旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,巴林土语,
150423,内蒙古自治区,赤峰市,巴林右旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,巴林土语,
150424,内蒙古自治区,赤峰市,林西县,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,巴林土语,
150426,内蒙古自治区,赤峰市,翁牛特旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,巴林土语,
150430,内蒙古自治区,赤峰市,敖汉旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,巴林土语,
150502,内蒙古自治区,通辽市,科尔沁区,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
150521,内蒙古自治区,通辽市,科尔沁左翼中旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
150522,内蒙古自治区,通辽市,科尔沁左翼后旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
150523,内蒙古自治区,通辽市,开鲁县,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
150524,内蒙古自治区,通辽市,库伦旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,喀喇沁土语,
150525,内蒙古自治区,通辽市,奈曼旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,巴林土语,
150526,内蒙古自治区,通辽市,扎鲁特旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
150581,内蒙古自治区,通辽市,霍林郭勒市,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
150602,内蒙古自治区,鄂尔多斯市,东胜区,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,鄂尔多斯土语,
150621,内蒙古自治区,鄂尔多斯市,达拉特旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,鄂尔多斯土语,
150622,内蒙古自治区,鄂尔多斯市,准格尔旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,鄂尔多斯土语,
150623,内蒙古自治区,鄂尔多斯市,鄂托克前旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,鄂尔多斯土语,
150624,内蒙古自治区,鄂尔多斯市,鄂托克旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,鄂尔多斯土语,
150625,内蒙古自治区,鄂尔多斯市,杭锦旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,鄂尔多斯土语,
150626,内蒙古自治区,鄂尔多斯市,乌审旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,鄂尔多斯土语,
150627,内蒙古自治区,鄂尔多斯市,伊金霍洛旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,鄂尔多斯土语,
150721,内蒙古自治区,呼伦贝尔市,阿荣旗,少数民族方言区,蒙古语族,蒙古语,内蒙古方言,科尔沁土语,
